Instagram,WhatsApp,CNPJ,Razão Social,Razao Social,Nome Fantasia,Logradouro,N,Bairro,Cidade,Estado,CEP
Matuca's,92 98518-8738,36.731.760/0001-16,Matuca's Comércio de Alimentos,MATUCA'S BAR GRILL LTDA,MATUCA'S BAR GRILL,MANECA MARQUES,1886,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69055021
Coco Bambu,92 3667-7430,27.220.036/0001-37,Coco Bambu Manaus Franquia Ltda,CB MANAUS COMERCIO DE ALIMENTOS LTDA,COCO BAMBU MANAUS,CORONEL TEIXEIRA,5705,PONTA NEGRA,MANAUS,AM,69037000
Taverna Spell,92 98836-4381,43.501.666/0001-36,Spell Gastro Pub Ltda,SPELL BURGUER LTDA,SPELL BURGUER,CAETANO CABRAL,17,ADRIANOPOLIS,MANAUS,AM,69057046
La Vaca,92 98412-0110,05.670.148/0002-38,La Vaca Negra Parrilla Ltda,BROT-HAUS INDUSTRIA DE ALIMENTOS LTDA,LA VACA NEGRA CORTES ARGENTINOS,BELO HORIZONTE,45,ADRIANOPOLIS,MANAUS,AM,69057060
Alentejo,92 3233-7300,09.652.492/0001-74,Restaurante Alentejo Ltda,R L J DA COSTA E CIA LTDA,ALENTEJO COZINHA PORTUGUESA,PARA,555,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053575
Barollo,92 3083-8149,45.294.776/0001-08,Barollo Manaus Restaurante Ltda,R D SERVICOS DE ALIMENTACAO LTDA,SUN7 GASTROBAR,CORONEL TEIXEIRA,S/N,PONTA NEGRA,MANAUS,AM,69037000
Fellicori,92 3342-3020,22.456.088/0001-93,Felicori Gastronomia Ltda,LUVA SERVICOS DE ALIMENTACAO LTDA,FELICORI,NATAL,191,ADRIANOPOLIS,MANAUS,AM,69057090
Amazônico,92 3236-0546,19.276.594/0001-96,Casa Amazônica Peixaria Regional,AMAZONICO RESTAURANTE LTDA,AMAZONICO PEIXARIA REGIONAL,DARCY VARGAS,226,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69055035
Adolpho,92 3307-7777,13.742.161/0001-00,Masterfood Comércio de Alimentos Ltda,MASTERFOOD COMERCIO DE ALIMENTOS LTDA.,ADOLPHO - ASSADOR OFICIAL,TANCREDO NEVES,920,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69054700
La Parrilla,92 98409-2233,17.167.023/0001-98,La Parrilla Grill Manaus Ltda,RESTAURANTE LA PARRILLA GRILL LTDA,LA PARRILLA GRILL,DESEMBARGADOR JOAO MACHADO,63,ALVORADA,MANAUS,AM,69042360
Roseiral,92 98430-2080,56.423.384/0001-00,Restaurante Roseiral Ltda,ROSEIRAL DA PRACA RESTAURANTE E BAR LTDA,RESTAURANTE ROSEIRAL DA PRACA,JOSE CLEMENTE,600,CENTRO,MANAUS,AM,69010070
Moquém,92 3342-2042,26.388.708/0001-55,Moquém Cozinha Nativa Ltda,MOQUEM RESTAURANTE LTDA,MOQUEM DO BANZEIRO,JORNALISTA UMBERTO CALDERARO FILHO,455,ADRIANOPOLIS,MANAUS,AM,69057015
Fitz Carraldo,92 98643-1122,21.996.340/0001-94,Bistrô Delicias da Lu (Grupo Fitz Carraldo),VILLA AMAZONIA HOTELARIA LTDA,VILLA AMAZONIA,10 DE JULHO,315,CENTRO,MANAUS,AM,69010060
Choupana,92 99234-3878,07.772.266/0001-00,Choupana Buffet Regional Ltda,DO VALLE BUFFET LTDA EPP,CHOUPANA RESTAURANTE COZINHA REGIONAL,TORQUATO TAPAJOS,11411,TARUMA-ACU,MANAUS,AM,69039125
Mangô,92 98454-0711,50.386.563/0001-38,Mangô Gastronomia Ltda,50.386.563 EDUARDO BRUNO AFONSO NOGUEIRA,,,,ALEIXO,MANAUS,AM,69060085
Caxiri,92 98405-4769,24.514.378/0001-71,Caxiri Gastronomia Ltda,RESTAURANTE CAXIRI LTDA,RESTAURANTE CAXIRI DA AMAZONIA,10 DE JULHO,495,CENTRO,MANAUS,AM,69010060
Terra e Mar,92 3019-4939,09.256.342/0008-18,Restaurante Terra e Mar Ltda,RAL EMPREENDIMENTOS LTDA,T&M TERRA & MAR RESTAURANTE,MARIO YPIRANGA,1039,ADRIANOPOLIS,MANAUS,AM,69057001
Calçada alta,92 99417-3269,30.629.899/0001-77,Calçada Alta Restaurante Ltda,SILVA E TEIXEIRA RESTAURANTE LTDA,CALCADA ALTA,COSTA AZEVEDO,96,CENTRO,MANAUS,AM,69010230
Vinhedo,92 99433-8935,32.782.846/0002-06,Vinhedo Rio Mar Importadora Ltda,M J P MACHADO LTDA,VINHEDO RIO & MAR,7 DE SETEMBRO,50,CENTRO,MANAUS,AM,69005140
Camarada ,92 99244-0463,32.678.980/0014-97,Camarada Administração de Restaurantes,CAMARADA ADMINISTRACAO DE RESTAURANTES S.A.,,MARIO YPIRANGA,1300,ADRIANOPOLIS,MANAUS,AM,69057002
Pobre Juan,92 3667-7398,44.373.786/0001-68,Pobre Juan Restaurante Manaus Ltda,POBRE MANAUS RESTAURANTE LTDA,PJ BAR.B.CUE MANAUS,CORONEL TEIXEIRA,5705,PONTA NEGRA,MANAUS,AM,69037000
Shin Suzuran,92 99972-8373,07.800.611/0001-63,Restaurante Shin Suzuran Ltda,HIRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,RESTAURANTE SHINSUZURAN,RIO ITANNAUA,100,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053540
Quintal Bistrô,92 9527-0721,51.163.121/0001-95,Quintal Bistrô e Gastronomia Ltda,L. G. C. PAIXAO LTDA,QUINTAL BISTRO,ARARAS AZUIS,24,PONTA NEGRA,MANAUS,AM,69037000
Banzeiro,92 3234-1621,09.186.089/0001-05,Maravilha Alimentos Ltda,MARAVILHA ALIMENTOS LTDA,BANZEIRO COZINHA AMAZONICA,TERESINA,102,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053138
Loppiano,92 3642-1234,84.499.748/0001-70,Pizzaria Loppiano Ltda,LUCAS COMERCIO E REPRESENTACOES LTDA,LOPPIANO PIZZA,MAJOR GABRIEL,1080,CENTRO,MANAUS,AM,69020060
Sushi PN,92 99430-7314,17.802.332/0003-54,Sushi Ponta Negra Ltda,"SPN RESTAURANTE, LANCHONETE E FORNECIMENTO DE ALIMENTOS LTDA",SUSHI PONTA NEGRA,CORONEL TEIXEIRA,0,PONTA NEGRA,MANAUS,AM,69037000
Picanha Mania,92 99171-0630,07.635.955/0001-64,Picanha Mania Comércio de Alimentos,AER RESTAURANTE LTDA,PICANHA MANIA,CONSTANTINO NERY,5.069,FLORES,MANAUS,AM,69058795
Sabor a Mi,92 3622-1144,00.253.703/0001-21,Restaurante Sabor A Mi Ltda,RESTAURANTE SABOR A MI LTDA,SABOR A MI,PARA,503,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053575
Abaré SUP,92 98473-0631 ,23.217.960/0001-03,Abaré Sup Ltda,ABARE SUP LTDA,ABARE SUP AND FOOD,AGENTE MAURO LOBO,S/N,PONTA NEGRA,MANAUS,AM,69034650
Peixe-boi,92 99191-6539,15.787.252/0001-80,Flutuante Peixe Boi Ltda,I PLASKIEVICZ,RESTAURANTE PEIXE BOI,,,CENTRO,MANAUS,AM,69010020
STK ,92 99505-1012,28.769.932/0001-12,STK Steakhouse Manaus Ltda,STEAK CHEF LTDA,STEAK CHEF,RIO GUAMA,41,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053180
Zuzu,---------------------------,35.399.563/0001-89,Zuzu Casa de Comida Ltda,AMAZONAS E PERRONE CASAS DE CHA LTDA,ADMINISTRAR & CASA ZUZU,ACRE,3,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053130
Canoas,92 3237-3847,26.419.941/0001-58,Canoas Peixaria Regional Ltda,CANOAS PEIXARIA REGIONAL LTDA,CANOA'S PEIXARIA REGIONAL,IGARAPE DO QUARENTA,272,DISTRITO INDUSTRIAL I,MANAUS,AM,69075012
Cachaçaria do Dedé,92 98175-9314,63.740.237/0001-29,Ral Empreendimentos Ltda (Unidade Manauara),S. F. PARENTE LTDA,CACHACARIA DO DEDE,DO COMERCIO,1003,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69055000
Waku Sese,92 99104-8827,23.689.452/0001-28,Waku Sese Amazônia Ltda,SUIJKERBUIJK RESTAURANTES LTDA,WAKU SESE,MARIO YPIRANGA,1300,ADRIANOPOLIS,MANAUS,AM,69057002
Kalena,92 99230-4071,29.802.718/0001-83,Kalena Café e Gastronomia Ltda,ALDO CAFETERIA LTDA,KALENA CAFE,FORTALEZA,201,ADRIANOPOLIS,MANAUS,AM,69057080
Cartô,92 99206-2005,41.564.230/0001-44,Cartô Gastrobar Ltda,Cartô Gastrobar Ltda,,,,,,,
Cadeira de Macarrão,92 99206-2384,29.845.230/0001-55,Cadeira de Macarrão Manaus Ltda,Cadeira de Macarrão Manaus Ltda,,,,,,,
Engenheiros do Café,92 98110-2233,46.278.260/0001-24,Engenheiros do Café Ltda,ENG CAFETERIA LTDA,ENGENHEIROS DO CAFE,JACIRA REIS,1486,CHAPADA,MANAUS,AM,69040270
Casario179,92 98217-7707,46.834.223/0001-55,LP Restaurantes e Cafe Bar Ltda,LP RESTAURANTES E CAFE BAR LTDA,CASARIO 179 CAFE BAR,COSTA AZEVEDO,179,CENTRO,MANAUS,AM,69010230
Engenho,92 93019-3949,09.256.342/0001-41,Engenho Café e Restaurante Ltda,RAL EMPREENDIMENTOS LTDA,CDA GRUPO ENGENHO,CARLOS LACERDA,415,PARQUE DEZ DE NOVEMBRO,MANAUS,AM,69055723
Sombra da Lua,92 99114-2563,14.828.980/0001-20,Sombra da Lua Flutuante Ltda,SOMBRA DA LUA COMERCIO DE PRODUTOS ALIMENTICIOS LTDA,SOMBRA DA LUA,RIO TARUMA MIRIM S/N,S/N,AREA RURAL,MANAUS,AM,69049992
Old 88,92 99517-2615,28.546.793/0001-68,Old 88 Garage Burguer Ltda,OLD 88 GARAGE COMERCIO DE PECAS E ACESSORIOS PARA MOTOCICLETAS LTDA,OLD 88 GARAGE,JOAO VALERIO,218,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053140
Nuvem9,92 98516-5416,05.445.738/0001-86,Nuvem Nove Cafeteria Ltda,NUVEM NOVE LOUNG BAR LTDA,NUVEM NOVE LOUNGE & BAR,RIO JAVARI,16,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053110
Cupulla,92 99372-4934,52.718.589/0001-61,Cupulla Bar e Entretenimento Ltda,CUPULLA RESTAURANTE LTDA,CUPULLA,RIO ICA,209,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053100
Villa 948,92 99330-9366,42.361.176/0001-19,Villa 948 Restaurante Ltda,RESTAURANTE VILLA 948 LTDA,VILLA 948,MARIO YPIRANGA,948,ADRIANOPOLIS,MANAUS,AM,69057001
Torino,92 98556-6014,42.009.058/0001-46,Torino Braceria e Pizzaria Ltda,C. MARQUES PINTO JUNIOR LTDA,TORINO BRACERIA,SALVADOR,440,ADRIANOPOLIS,MANAUS,AM,69057040
Nihan,92 99339-6525,03.798.156/0001-58,Nihan Cozinha Oriental Ltda,KIN BAR E RESTAURANTE LTDA,NIHAN,SALVADOR,440,ADRIANOPOLIS,MANAUS,AM,69057040
Gaúchos,92 3233-2908,01.062.511/0001-09,Churrascaria Gaúchos Manaus Ltda,RESTAURANTE GAUCHOS GRILL LTDA,GAUCHO'S CHURRASCARIA,TERESINA,616,ADRIANOPOLIS,MANAUS,AM,69057070
Bulltique,92 98151-1506,42.618.251/0001-84,Bulltique Emporio e Carnes Ltda,BULLTIQUE CARNES NOBRES & EMPORIO LTDA,,BARAO DO INDAIA,941,CENTRO,ABAETE,MG,35620000
JSK Burger,92 98148-0308,49.403.012/0013-90,JSK Hamburgueria Manaus Ltda,JSK BURGERS LANCHONETE E RESTAURANTE LTDA,JSK BURGERS LANCHONETE,ALVARO BRAGA,456,PARQUE 10 DE NOVEMBRO,MANAUS,AM,69055660
Malibu ,92 99257-1676,35.849.596/0001-83,Malibu Burger e Shakes Ltda,MALIBU MAO LANCHES LTDA,MALIBU MAO,RIO JAVARI,43,NOSSA SENHORA DAS GRACAS,MANAUS,AM,69053110
Burgers&Burgers,92 99139-2196,14.773.796/0001-20,Doggers e Burgers Restaurante Ltda,MAO FORNECIMENTO DE ALIMENTOS LTDA,BURGERS & BURGERS,JORNALISTA UMBERTO CALDERARO FILHO,955,ADRIANOPOLIS,MANAUS,AM,69057015
